JobID,JobName,StartHour,DayOfWeek,Month,ExecutionTime_sec,RecordsProcessed,CPULoad_percent,MemoryUsage_MB,PreviousFailures,Priority,IsCritical,JobFailed
SAP_JOB_28,RDDIMPDP_TRANSPORT_IMPORT,23,3,5,450,65000,60,1400,0,1,1,0
SAP_JOB_29,Z_FI_MONTH_END_CLOSING,0,5,10,7000,125000,61,2250,1,1,1,0
SAP_JOB_30,Z_SD_DAILY_SALES_REPORT,3,7,2,3200,26000,51,1180,0,2,0,0
SAP_JOB_31,SAP_CCMS_MONITORING_BATCH,20,2,7,980,78000,36,780,0,3,0,0
SAP_JOB_32,Z_XI_MESSAGE_MONITORING,1,4,12,150,12,89,3150,5,1,0,1
SAP_JOB_33,RSN3_AGGR_REPAIR_BW,4,6,3,5000,38000,70,1880,1,2,0,0
SAP_JOB_34,Z_APO_FORECAST_GENERATION,22,1,8,8200,2,94,3500,4,1,1,1
SAP_JOB_35,RFBILA00_BALANCE_SHEET,0,3,1,6800,92000,67,2050,0,1,1,0
SAP_JOB_36,RSBTCDEL_DELETE_OLD_JOBS,5,5,6,520,190000,26,430,0,3,0,0
SAP_JOB_37,Z_CRM_LEAD_PROCESSING,19,7,11,2900,16000,49,1350,2,2,0,0
SAP_JOB_38,RSSTAT83_PERF_ANALYSIS,2,2,4,4200,42000,78,2300,2,2,0,0
SAP_JOB_39,RSAL_BATCH_TOOL_DISPATCH,3,4,9,780,52000,34,620,0,3,0,0
SAP_JOB_40,Z_MM_STOCK_RECONCILIATION,1,6,2,3700,25000,43,980,0,2,0,0
SAP_JOB_41,RSMON000_ALERTMONITOR_RUN,23,1,7,650,43000,69,1750,1,1,1,0
SAP_JOB_42,Z_PP_MRP_RUN,0,3,12,120,5,91,2950,5,1,1,1
SAP_JOB_43,Z_BC_SYSTEM_HEALTH_CHECK,22,5,5,1300,105000,31,500,0,3,0,0
SAP_JOB_44,RBDAPP01_IDOC_PROCESSING,4,7,10,4700,90000,66,1580,1,2,0,0
SAP_JOB_45,Z_BW_DATA_LOAD_DAILY,2,2,3,11000,0,98,4050,8,1,1,1
SAP_JOB_46,Z_HR_PAYROLL_RUN,5,4,8,6600,5100,54,2000,0,1,1,0
SAP_JOB_47,RSCOLL00_STATS_COLLECTOR,1,6,1,310,36000,41,900,0,2,0,0
SAP_JOB_48,RDDIMPDP_TRANSPORT_IMPORT,20,1,6,400,60000,58,1300,0,1,1,0
SAP_JOB_49,Z_FI_MONTH_END_CLOSING,23,3,11,7200,130000,63,2300,0,1,1,0
SAP_JOB_50,Z_SD_DAILY_SALES_REPORT,2,5,4,3100,24000,49,1100,0,2,0,0
SAP_JOB_51,SAP_CCMS_MONITORING_BATCH,0,7,9,920,72000,34,720,0,3,0,0
SAP_JOB_52,Z_XI_MESSAGE_MONITORING,3,2,2,80,8,87,2800,4,1,0,1
SAP_JOB_53,RSN3_AGGR_REPAIR_BW,19,4,7,5400,42000,73,1950,2,2,0,0
SAP_JOB_54,Z_APO_FORECAST_GENERATION,4,6,12,5000,6800,60,1650,1,1,1,0
SAP_JOB_55,RFBILA00_BALANCE_SHEET,21,1,5,6700,90000,66,2000,0,1,1,0
SAP_JOB_56,RSBTCDEL_DELETE_OLD_JOBS,1,3,10,580,210000,27,470,0,3,0,0
SAP_JOB_57,Z_CRM_LEAD_PROCESSING,2,5,3,2700,14000,47,1250,0,2,0,0
SAP_JOB_58,RSSTAT83_PERF_ANALYSIS,0,7,8,15000,10,97,3700,6,2,0,1
SAP_JOB_59,RSAL_BATCH_TOOL_DISPATCH,23,2,1,720,48000,32,580,0,3,0,0
SAP_JOB_60,Z_MM_STOCK_RECONCILIATION,5,4,6,3950,27000,46,1050,1,2,0,0
SAP_JOB_61,RSMON000_ALERTMONITOR_RUN,18,6,11,700,46000,71,1800,0,1,1,0
SAP_JOB_62,Z_PP_MRP_RUN,2,1,4,180,18,93,3100,3,1,1,1
SAP_JOB_63,Z_BC_SYSTEM_HEALTH_CHECK,20,3,9,1200,98000,29,490,0,3,0,0
SAP_JOB_64,RBDAPP01_IDOC_PROCESSING,3,5,2,4600,85000,64,1500,1,2,0,0
SAP_JOB_65,Z_BW_DATA_LOAD_DAILY,1,7,7,6000,25000,78,2600,4,1,1,0
SAP_JOB_66,Z_HR_PAYROLL_RUN,4,2,12,6400,4900,52,1950,0,1,1,0
SAP_JOB_67,RSCOLL00_STATS_COLLECTOR,0,4,5,270,34000,39,850,0,2,0,0
SAP_JOB_68,RDDIMPDP_TRANSPORT_IMPORT,22,6,10,17000,0,99,4000,9,1,1,1
SAP_JOB_69,Z_FI_MONTH_END_CLOSING,1,1,3,7050,122000,60,2220,0,1,1,0
SAP_JOB_70,Z_SD_DAILY_SALES_REPORT,23,3,8,3300,27000,52,1220,1,2,0,0
SAP_JOB_71,SAP_CCMS_MONITORING_BATCH,5,5,1,1000,80000,37,800,0,3,0,0
SAP_JOB_72,Z_XI_MESSAGE_MONITORING,2,7,6,9000,7,91,3200,5,1,0,1
SAP_JOB_73,RSN3_AGGR_REPAIR_BW,19,2,11,5100,39000,69,1860,1,2,0,0
SAP_JOB_74,Z_APO_FORECAST_GENERATION,0,4,4,4900,6600,59,1630,0,1,1,0
SAP_JOB_75,RFBILA00_BALANCE_SHEET,21,6,9,7000,98000,70,2180,0,1,1,0
SAP_JOB_76,RSBTCDEL_DELETE_OLD_JOBS,3,1,2,500,180000,24,410,0,3,0,0
SAP_JOB_77,Z_CRM_LEAD_PROCESSING,1,3,7,3000,17000,50,1400,2,2,0,0
SAP_JOB_78,RSSTAT83_PERF_ANALYSIS,4,5,12,4000,40000,76,2200,1,2,0,0
SAP_JOB_79,RSAL_BATCH_TOOL_DISPATCH,20,7,5,800,55000,35,650,0,3,0,0
SAP_JOB_80,Z_MM_STOCK_RECONCILIATION,2,2,10,3800,26000,44,1000,0,2,0,0
SAP_JOB_81,RSMON000_ALERTMONITOR_RUN,22,4,3,670,44000,68,1720,0,1,1,0
SAP_JOB_82,Z_PP_MRP_RUN,0,6,8,50,2,86,2700,2,1,1,1
SAP_JOB_83,Z_BC_SYSTEM_HEALTH_CHECK,5,1,1,1150,102000,27,460,0,3,0,0
SAP_JOB_84,RBDAPP01_IDOC_PROCESSING,1,3,6,4400,82000,63,1450,0,2,0,0
SAP_JOB_85,Z_BW_DATA_LOAD_DAILY,23,5,11,120,0,94,3400,6,1,1,1
SAP_JOB_86,Z_HR_PAYROLL_RUN,3,7,4,6800,5300,55,2050,1,1,1,0
SAP_JOB_87,RSCOLL00_STATS_COLLECTOR,20,2,9,300,32000,38,820,0,2,0,0
SAP_JOB_88,RDDIMPDP_TRANSPORT_IMPORT,4,4,2,420,62000,59,1350,1,1,1,0
SAP_JOB_89,Z_FI_MONTH_END_CLOSING,1,6,7,7150,128000,62,2280,0,1,1,0
SAP_JOB_90,Z_SD_DAILY_SALES_REPORT,22,1,12,3400,28000,53,1250,0,2,0,0
SAP_JOB_91,SAP_CCMS_MONITORING_BATCH,0,3,5,900,70000,33,700,0,3,0,0
SAP_JOB_92,Z_XI_MESSAGE_MONITORING,3,5,10,9800,15,95,3600,7,1,0,1
SAP_JOB_93,RSN3_AGGR_REPAIR_BW,5,7,3,5300,41000,71,1920,2,2,0,0
SAP_JOB_94,Z_APO_FORECAST_GENERATION,19,2,8,4700,6400,57,1580,0,1,1,0
SAP_JOB_95,RFBILA00_BALANCE_SHEET,2,4,1,7100,96000,69,2150,1,1,1,0
SAP_JOB_96,RSBTCDEL_DELETE_OLD_JOBS,23,6,6,560,205000,28,490,0,3,0,0
SAP_JOB_97,Z_CRM_LEAD_PROCESSING,1,1,11,2600,13000,46,1200,0,2,0,0
SAP_JOB_98,RSSTAT83_PERF_ANALYSIS,20,3,4,160,20,89,2750,4,2,0,1
SAP_JOB_99,RSAL_BATCH_TOOL_DISPATCH,4,5,9,700,47000,31,550,0,3,0,0
